GCA_001767575.1,7
GCA_016703025.1,1
GCA_018725505.1,1
GCF_000008625.1,4
GCF_000009365.1,1
GCF_000010105.1,9
GCF_000010805.1,21
GCF_000015305.1,17
GCF_000015505.1,35
GCF_000015745.1,9
GCF_000016765.1,18
GCF_000020145.1,0
GCF_000022025.1,5
GCF_000178415.2,20
GCF_000184435.1,16
GCF_000218625.1,5
GCF_000230655.2,4
GCF_000284615.1,7
GCF_000297255.1,2
GCF_000299965.1,23
GCF_000384415.1,23
GCF_000425785.1,8
GCF_000469585.1,4
GCF_000745455.1,0
GCF_000756045.1,31
GCF_000967895.1,2
GCF_001029505.1,7
GCF_001293545.1,2
GCF_001547735.1,7
GCF_002844395.1,3
GCF_003314795.2,3
GCF_003574315.2,3
GCF_009936215.1,0
GCF_012931705.2,3
GCF_016617615.1,8
GCF_022374875.2,11
GCF_023277115.1,1
GCF_026108055.1,7
GCF_036321435.2,8
GCF_039565655.1,15
GCF_045287585.1,3
GCF_047159735.1,0
GCF_050389785.1,0
GCF_054032935.1,2
GCF_054656935.1,4
GCF_055391325.1,3
GCF_058448765.1,6
GCF_059089525.1,3
GCF_060490275.1,4
GCF_900107685.1,9
GCF_900637135.1,6
GCF_965138605.1,23
GCF_988142605.1,3
